family,Cells: Phenotypic/Other,General Assays and Safety,Enzymes: Phosphatases,Pathogen: Parasite,Pathogen: Bacteria,Cells: Breast Cancer,Pathogen: Virus,Enzymes: General Metabolism,Cells: Colorectal Cancer,Cells: Lung Cancer,Transporters and Ion Channels,Cells: Cervical Cancer,Proteins: Neurodegeneration,Cells: Melanoma,Enzymes: Inflammatory COX/PG,Cells: Liver Cancer,Enzymes: Tyrosinase,Enzymes: Carbohydrate Metabolism,Enzymes: Kinases,Enzymes: Steroid Metabolism,Proteins: Inflammatory Response,Cells: Hematologic Cancer,Enzymes: Proteases,Enzymes: Lipid Metabolism,Cells: Prostate Cancer,Proteins: Growth Factors,Enzymes: Cholinesterase,Receptors: Nuclear,Proteins: NF-kB/TNF Signaling,Enzymes: CYP450
Aspleniaceae,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Asteraceae,0.4326923076923077,0.36538461538461536,0.11538461538461539,0.19230769230769232,0.18269230769230768,0.11538461538461539,0.2403846153846154,0.2692307692307692,0.08653846153846154,0.07692307692307693,0.23076923076923078,0.0673076923076923,0.21153846153846154,0.10576923076923077,0.07692307692307693,0.0673076923076923,0.0673076923076923,0.08653846153846154,0.20192307692307693,0.18269230769230768,0.10576923076923077,0.057692307692307696,0.125,0.057692307692307696,0.09615384615384616,0.10576923076923077,0.057692307692307696,0.09615384615384616,0.0673076923076923,0.09615384615384616
Athyriaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balanophoraceae,0.6666666666666666,0.5555555555555556,0.4444444444444444,0,0.1111111111111111,0,0.2222222222222222,0,0.1111111111111111,0,0.4444444444444444,0,0,0.2222222222222222,0.2222222222222222,0,0.1111111111111111,0,0.1111111111111111,0.3333333333333333,0.1111111111111111,0,0.2222222222222222,0,0,0,0,0,0,0.1111111111111111
Balsaminaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basellaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Begoniaceae,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.42857142857142855,0,0,0.2857142857142857,0,0.5714285714285714,0,0.2857142857142857,0.14285714285714285,0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0,0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0,0,0.14285714285714285,0,0.2857142857142857
Berberidaceae,0.6,0.2,0.2,0.4,0.4,0.2,0.4,0.4,0.2,0.2,0.2,0,0.4,0.2,0.2,0.2,0,0.2,0.2,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0,0.2,0.2,0.2
Betulaceae,0.4166666666666667,0.625,0.125,0.25,0.20833333333333334,0.125,0.3333333333333333,0.3333333333333333,0.125,0.08333333333333333,0.2916666666666667,0,0.5,0.08333333333333333,0.20833333333333334,0,0.08333333333333333,0.20833333333333334,0.2916666666666667,0.25,0.20833333333333334,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.125
Bignoniaceae,0.2,0.4,0,0.4,0,0,0,0,0,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
