family,fine_clade,analysis_clade,n_compounds_structural,n_scaffolds,median_mw,median_logp,median_tpsa,median_fsp3,prevalence_phenolic,prevalence_methoxy,prevalence_prenyl,prevalence_sugar,prevalence_enone,n_occurrence_rows,n_compounds,n_species,n_genera,n_references,n_classes,rarefied_scaffolds_5,rarefied_scaffolds_10,rarefied_scaffolds_20,n_exclusive_scaffolds,novelty_ratio,exclusive_scaffold_share,expected_scaffolds,effort_adjusted_novelty,effort_adjusted_novelty_z
Cistaceae,Rosids (Malvids),Rosids,9,3,290.271,1.5460999999999998,110.38000000000001,0.2,1,0.1111111111111111,0,0.1111111111111111,0,14,9,3,2,6,3,2.5396825396825395,,,0,0.3333333333333333,0,3.206284306006654,-0.05028530921772778,-0.15015079605023723
Cleomaceae,Rosids (Malvids),Rosids,2,1,256.257,2.804300000000002,66.76,0.13333333333333333,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Clusiaceae,Rosids (Fabids),Rosids,125,25,558.4950000000003,3.403300000000002,194.20999999999998,0.16129032258064516,0.952,0.184,0.04,0.24,0.008,376,125,38,4,67,7,4.131328962416616,6.908739496909199,10.832578831516187,8,0.2,0.32,25.998658334074605,-0.03769063541762163,-0.11254338492960948
Combretaceae,Rosids (Malvids),Rosids,71,14,406.47800000000024,3.4757000000000016,110.38000000000001,0.29411764705882354,0.7323943661971831,0.4507042253521127,0.38028169014084506,0.028169014084507043,0.30985915492957744,89,71,15,4,24,8,3.885765714645137,6.024907090238425,8.422584037213314,3,0.19718309859154928,0.21428571428571427,16.28470069336709,-0.1417715561461632,-0.42332666028674637
Convolvulaceae,Asterids (Lamiids),Asterids,39,19,434.3970000000001,-0.01700000000000018,170.04999999999998,0.34782608695652173,0.8461538461538461,0.23076923076923078,0.3333333333333333,0.5641025641025641,0.48717948717948717,43,39,7,5,10,10,4.562621036305266,8.18039902250425,13.391446391446399,6,0.48717948717948717,0.3157894736842105,9.909713519932971,0.6060787325383754,1.8097373880256773
Cordiaceae,Asterids (Lamiids),Asterids,9,4,528.5130000000003,4.981800000000007,164.75,0.13333333333333333,1,0,0,0,0.4444444444444444,9,9,1,1,1,1,3.452380952380952,,,0,0.4444444444444444,0,3.206284306006654,0.17285824209648193,0.5161508014647077
Coriariaceae,Rosids (Fabids),Rosids,2,1,272.25600000000003,2.5099000000000014,86.99000000000001,0.13333333333333333,1,0,0,0,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Cornaceae,Asterids (Basal),Asterids,5,3,450.39600000000013,1.2517,186.36999999999998,0.2,1,0,0,0.4,0,5,5,2,1,2,3,3,,,0,0.6,0,2.155249435501823,0.23722680787089478,0.7083538830802957
Crassulaceae,Saxifragales,Early eudicots & Saxifragales,39,10,480.4250000000002,2.8636,177.14,0.16,1,0.10256410256410256,0,0,0,108,39,17,7,22,5,4.012081485765703,6.281875935126699,8.519435519435518,1,0.2564102564102564,0.1,9.909713519932971,0.008241731782755224,0.02460962470479986
Cucurbitaceae,Rosids (Fabids),Rosids,19,8,578.5260000000003,2.406200000000002,202.03999999999996,0.2,1,0.05263157894736842,0,0.15789473684210525,0.05263157894736842,19,19,4,4,4,5,3.9672342621259142,6.167182662538706,,1,0.42105263157894735,0.125,5.5642207774601,0.31559077008227776,0.9423469019308487
Cunoniaceae,Rosids (Fabids),Rosids,2,1,436.3690000000001,-0.3504000000000003,186.37,0.35,1,0,0,1,0,2,2,1,1,1,1,,,,0,0.5,0,1.2104597905767478,-0.10005336336503656,-0.29875708015866237
Cupressaceae,Gymnosperms,Gymnosperms,50,14,436.3690000000001,2.547650000000001,166.14000000000001,0.2,0.9,0.2,0.04,0.26,0.04,97,50,19,12,23,6,4.319454303460547,7.289088471987915,10.826821691589737,0,0.28,0,12.16974475142073,0.13012806659628362,0.38855946382490547
Cyatheaceae,Ferns,Non-seed vascular plants,4,1,564.4785000000003,4.625500000000007,208.23499999999999,0.06666666666666667,1,0,0,0,0,4,4,1,1,1,1,,,,0,0.25,0,1.8653537346159381,-0.35954462956499744,-1.0735921322671071
Cycadaceae,Gymnosperms,Gymnosperms,20,6,540.4800000000002,5.336650000000007,159.435,0.13333333333333333,1,0.35,0,0,0,36,20,3,1,5,2,3.6291279669762697,5.082043343653252,6,1,0.3,0.16666666666666666,5.790514973217858,0.030383367471406908,0.09072404810648146
Cynomoriaceae,Saxifragales,Early eudicots & Saxifragales,6,4,435.40500000000014,1.5460999999999998,171.64,0.2,1,0,0,0.3333333333333333,0,9,6,1,1,4,4,3.6666666666666665,,,0,0.6666666666666666,0,2.4308943454761054,0.37661694312225724,1.1245696744343896
