inchikey,target_domain_macro,n_standard_types,standard_types,n_records,n_targets,n_assays,z_potency_equal_mean,z_potency_equal_median,z_potency_record_weighted,delta_equal_mean_minus_record_weighted,delta_equal_median_minus_equal_mean
BVKQRAYKLBRNIK-UHFFFAOYSA-N,General Assays and Safety,1,IC50,3,2,3,-0.255792616541526,-0.255792616541526,-0.2557926165415264,3.885780586188048e-16,0
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Metabolic Enzymes,1,IC50,1,1,1,-1.45087537199295,-1.45087537199295,-1.4508753719929466,-3.3306690738754696e-15,0
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,2,EC50;IC50,7,4,7,-0.15327122103555102,-0.15327122103555102,0.1533445893175766,-0.3066158103531276,0
BVKQRAYKLBRNIK-UHFFFAOYSA-N,Transporters and Ion Channels,2,IC50;Kd,2,2,2,0.969841126872504,0.969841126872504,0.9698411268725042,-2.220446049250313e-16,0
BWFSBUVPIAIXKJ-QHHAFSJGSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-0.886381008474741,-0.886381008474741,-0.8863810084747406,-4.440892098500626e-16,0
BWFSBUVPIAIXKJ-QHHAFSJGSA-N,General Assays and Safety,1,IC50,1,1,1,-0.925678372764007,-0.925678372764007,-0.9256783727640072,2.220446049250313e-16,0
BWFSBUVPIAIXKJ-QHHAFSJGSA-N,Infectious Diseases,1,IC50,4,2,4,-0.177175934123183,-0.177175934123183,-0.17717593412318283,-1.6653345369377348e-16,0
BWSXMPVDLMJKKY-QFIPXVFZSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-1.25759209957285,-1.25759209957285,-1.2575920995728547,4.6629367034256575e-15,0
BYNYZQQDQIQLSO-UHFFFAOYSA-N,Cell Signaling and Survival,1,IC50,1,1,1,-1.23107702163727,-1.23107702163727,-1.2310770216372744,4.440892098500626e-15,0
BYNYZQQDQIQLSO-UHFFFAOYSA-N,Gene Regulation,1,EC50,1,1,1,-0.594327807797689,-0.594327807797689,-0.5943278077976887,-3.3306690738754696e-16,0
BYNYZQQDQIQLSO-UHFFFAOYSA-N,Phenotypic: Cancer and Cells,1,IC50,2,2,2,0.0138935088091403,0.0138935088091403,0.013893508809140268,3.2959746043559335e-17,0
