family,genus,species_binomial,n_occurrence_rows,n_compounds,n_references,representative_allowed,representative_exclusion_reason,representative_source,tree_species,representative_taxonomy_status
Cyatheaceae,Alsophila,Alsophila spinulosa,4,4,1,TRUE,,observed_binomial_species,Alsophila_spinulosa,compatible
Cycadaceae,Cycas,Cycas circinalis,11,11,1,TRUE,,observed_binomial_species,Cycas_circinalis,compatible
Cynomoriaceae,Cynomorium,Cynomorium coccineum,9,6,4,TRUE,,observed_binomial_species,Cynomorium_coccineum,compatible
Cyperaceae,Cyperus,Cyperus capitatus,20,17,3,TRUE,,observed_binomial_species,Cyperus_capitatus,compatible
Daphniphyllaceae,Daphniphyllum,Daphniphyllum himalayense,6,6,2,TRUE,,observed_binomial_species,Daphniphyllum_himalayense,compatible
Davalliaceae,Davallia,Davallia bullata,33,22,6,TRUE,,observed_binomial_species,Davallia_bullata,compatible
Dennstaedtiaceae,Microlepia,Microlepia marginata,3,2,2,TRUE,,observed_binomial_species,Microlepia_marginata,compatible
Diapensiaceae,Berneuxia,Berneuxia thibetica,2,2,1,TRUE,,observed_binomial_species,Berneuxia_thibetica,compatible
Dicranaceae,Dicranoloma,Dicranoloma robustum,4,4,1,TRUE,,observed_binomial_species,Dicranoloma_robustum,compatible
Didiereaceae,Alluaudia,Alluaudia humbertii,2,2,1,TRUE,,observed_binomial_species,Alluaudia_humbertii,compatible
Dilleniaceae,Dillenia,Dillenia pentagyna,6,6,1,TRUE,,observed_binomial_species,Dillenia_pentagyna,compatible
Dioscoreaceae,Dioscorea,Dioscorea cirrhosa,24,22,2,TRUE,,observed_binomial_species,Dioscorea_cirrhosa,compatible
Dipterocarpaceae,Monotes,Monotes engleri,19,18,3,TRUE,,observed_binomial_species,Monotes_engleri,compatible
Dryopteridaceae,Dryopteris,Dryopteris crassirhizoma,13,13,2,TRUE,,observed_binomial_species,Dryopteris_crassirhizoma,compatible
Ebenaceae,Diospyros,Diospyros kaki,34,26,5,TRUE,,observed_binomial_species,Diospyros_kaki,compatible
Elaeagnaceae,Hippophae,Hippophae rhamnoides,5,5,1,TRUE,,observed_binomial_species,Hippophae_rhamnoides,compatible
Elatinaceae,Bergia,Bergia capensis,4,4,1,TRUE,,observed_binomial_species,Bergia_capensis,compatible
Ephedraceae,Ephedra,Ephedra frustillata,2,2,1,TRUE,,observed_binomial_species,Ephedra_frustillata,compatible
Equisetaceae,Equisetum,Equisetum arvense,8,7,2,TRUE,,observed_binomial_species,Equisetum_arvense,compatible
Ericaceae,Vaccinium,Vaccinium vitis-idaea,33,26,4,TRUE,,observed_binomial_species,Vaccinium_vitis-idaea,compatible
Eriocaulaceae,Eriocaulon,Eriocaulon buergerianum,5,5,2,TRUE,,observed_binomial_species,Eriocaulon_buergerianum,compatible
Erythroxylaceae,Erythroxylum,Erythroxylum novogranatense,12,10,2,TRUE,,observed_binomial_species,Erythroxylum_novogranatense,compatible
Eucommiaceae,Eucommia,Eucommia ulmoides,5,5,3,TRUE,,observed_binomial_species,Eucommia_ulmoides,compatible
Euphorbiaceae,Macaranga,Macaranga tanarius,57,50,3,TRUE,,observed_binomial_species,Macaranga_tanarius,compatible
Eupteleaceae,Euptelea,Euptelea polyandra,1,1,1,TRUE,,observed_binomial_species,Euptelea_polyandra,compatible
Fabaceae,Glycyrrhiza,Glycyrrhiza glabra,379,196,69,TRUE,,observed_binomial_species,Glycyrrhiza_glabra,compatible
Fagaceae,Quercus,Quercus robur,30,26,3,TRUE,,observed_binomial_species,Quercus_robur,compatible
Francoaceae,Greyia,Greyia flanaganii,8,8,1,TRUE,,observed_binomial_species,Greyia_flanaganii,compatible
Gentianaceae,Hoppea,Hoppea dichotoma,11,11,1,TRUE,,observed_binomial_species,Hoppea_dichotoma,compatible
Geraniaceae,Geranium,Geranium niveum,20,16,3,TRUE,,observed_binomial_species,Geranium_niveum,compatible
Gesneriaceae,Didymocarpus,Didymocarpus albicalyx,16,16,1,TRUE,,observed_binomial_species,Didymocarpus_albicalyx,compatible
Ginkgoaceae,Ginkgo,Ginkgo biloba,10,8,3,TRUE,,observed_binomial_species,Ginkgo_biloba,compatible
Gleicheniaceae,Dicranopteris,Dicranopteris pedata,30,30,1,TRUE,,observed_binomial_species,Dicranopteris_pedata,compatible
Gnetaceae,Gnetum,Gnetum africanum,12,12,1,TRUE,,observed_binomial_species,Gnetum_africanum,compatible
Grossulariaceae,Ribes,Ribes rubrum,22,22,4,TRUE,,observed_binomial_species,Ribes_rubrum,compatible
Haloragaceae,Myriophyllum,Myriophyllum aquaticum,2,2,1,TRUE,,observed_binomial_species,Myriophyllum_aquaticum,compatible
Hamamelidaceae,Hamamelis,Hamamelis virginiana,20,17,3,TRUE,,observed_binomial_species,Hamamelis_virginiana,compatible
Heliotropiaceae,Heliotropium,Heliotropium glutinosum,6,6,1,TRUE,,observed_binomial_species,Heliotropium_glutinosum,compatible
Hernandiaceae,Hernandia,Hernandia nymphaeifolia,6,6,1,TRUE,,observed_binomial_species,Hernandia_nymphaeifolia,compatible
Humiriaceae,Vantanea,Vantanea peruviana,2,2,1,TRUE,,observed_binomial_species,Vantanea_peruviana,compatible
Hydrangeaceae,Hydrangea,Hydrangea macrophylla,4,4,1,TRUE,,observed_binomial_species,Hydrangea_macrophylla,compatible
Hypericaceae,Hypericum,Hypericum perforatum,17,11,9,TRUE,,observed_binomial_species,Hypericum_perforatum,compatible
Hypnaceae,Hypnum,Hypnum cupressiforme,18,18,2,TRUE,,observed_binomial_species,Hypnum_cupressiforme,compatible
Iridaceae,Iris,Iris domestica,106,46,21,TRUE,,observed_binomial_species,Iris_domestica,compatible
