original_family,genus,species_binomial,tree_species,representative_source,representative_taxonomy_status,representative_exclusion_reason,n_occurrence_rows,n_compounds,n_references,backbone_family,original_family_in_backbone,backbone_family_in_backbone,backbone_override_reason,phylo_maker_status,Order,Node.1,Node.2,Node.3,Node.4,FinalClade,apg_match,clade_assignment_source,AnalysisClade
Coriariaceae,Coriaria,Coriaria japonica,Coriaria_japonica,observed_binomial_species,compatible,,2,2,1,Coriariaceae,TRUE,TRUE,,prune,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cornaceae,Cornus,Cornus kousa,Cornus_kousa,observed_binomial_species,compatible,,3,3,1,Cornaceae,TRUE,TRUE,,prune,Cornales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Crassulaceae,Rhodiola,Rhodiola semenovii,Rhodiola_semenovii,observed_binomial_species,compatible,,34,21,6,Crassulaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Cucurbitaceae,Cucurbita,Cucurbita pepo,Cucurbita_pepo,observed_binomial_species,compatible,,15,15,1,Cucurbitaceae,TRUE,TRUE,,prune,Cucurbitales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cunoniaceae,Eucryphia,Eucryphia glutinosa,Eucryphia_glutinosa,observed_binomial_species,compatible,,2,2,1,Cunoniaceae,TRUE,TRUE,,bind,Oxalidales,Eudicots,Superrosids,Rosids,Fabids,Rosids (Fabids),TRUE,APG_reference,Rosids (Fabids)
Cupressaceae,Cryptomeria,Cryptomeria japonica,Cryptomeria_japonica,observed_binomial_species,compatible,,19,15,5,Cupressaceae,TRUE,TRUE,,prune,Cupressales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Cyatheaceae,Alsophila,Alsophila spinulosa,Alsophila_spinulosa,observed_binomial_species,compatible,,4,4,1,Cyatheaceae,TRUE,TRUE,,bind,Cyatheales,,,,,Ferns,TRUE,manual_family_override,Ferns
Cycadaceae,Cycas,Cycas circinalis,Cycas_circinalis,observed_binomial_species,compatible,,11,11,1,Cycadaceae,TRUE,TRUE,,prune,Cycadales,,,,,Gymnosperms,TRUE,manual_family_override,Gymnosperms
Cynomoriaceae,Cynomorium,Cynomorium coccineum,Cynomorium_coccineum,observed_binomial_species,compatible,,9,6,4,Cynomoriaceae,TRUE,TRUE,,prune,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,manual_family_override,Saxifragales
Cyperaceae,Cyperus,Cyperus capitatus,Cyperus_capitatus,observed_binomial_species,compatible,,20,17,3,Cyperaceae,TRUE,TRUE,,prune,Poales,Monocots,Commelinids,,,Monocots (Commelinids),TRUE,APG_reference,Monocots (Commelinids)
Daphniphyllaceae,Daphniphyllum,Daphniphyllum himalayense,Daphniphyllum_himalayense,observed_binomial_species,compatible,,6,6,2,Daphniphyllaceae,TRUE,TRUE,,bind,Saxifragales,Eudicots,Superrosids,,,Saxifragales,TRUE,APG_reference,Saxifragales
Davalliaceae,Davallia,Davallia bullata,Davallia_bullata,observed_binomial_species,compatible,,33,22,6,Davalliaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,APG_reference,Ferns
Dennstaedtiaceae,Microlepia,Microlepia marginata,Microlepia_marginata,observed_binomial_species,compatible,,3,2,2,Dennstaedtiaceae,TRUE,TRUE,,prune,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
Diapensiaceae,Berneuxia,Berneuxia thibetica,Berneuxia_thibetica,observed_binomial_species,compatible,,2,2,1,Diapensiaceae,TRUE,TRUE,,prune,Ericales,Eudicots,Superasterids,Asterids,,Asterids (Basal),TRUE,APG_reference,Asterids (Basal)
Didiereaceae,Alluaudia,Alluaudia humbertii,Alluaudia_humbertii,observed_binomial_species,compatible,,2,2,1,Didiereaceae,TRUE,TRUE,,prune,Caryophyllales,Eudicots,Superasterids,,,Caryophyllales,TRUE,APG_reference,Caryophy_Santalales
Dilleniaceae,Dillenia,Dillenia pentagyna,Dillenia_pentagyna,observed_binomial_species,compatible,,6,6,1,Dilleniaceae,TRUE,TRUE,,bind,Dilleniales,Eudicots,,,,Other Eudicots,TRUE,APG_reference,Basal Eudicots
Dioscoreaceae,Dioscorea,Dioscorea cirrhosa,Dioscorea_cirrhosa,observed_binomial_species,compatible,,24,22,2,Dioscoreaceae,TRUE,TRUE,,prune,Dioscoreales,Monocots,,,,Monocots,TRUE,APG_reference,Monocots
Dipterocarpaceae,Monotes,Monotes engleri,Monotes_engleri,observed_binomial_species,compatible,,19,18,3,Dipterocarpaceae,TRUE,TRUE,,bind,Malvales,Eudicots,Superrosids,Rosids,Malvids,Rosids (Malvids),TRUE,APG_reference,Rosids (Malvids)
Dryopteridaceae,Dryopteris,Dryopteris crassirhizoma,Dryopteris_crassirhizoma,observed_binomial_species,compatible,,13,13,2,Dryopteridaceae,TRUE,TRUE,,bind,Polypodiales,,,,,Ferns,TRUE,manual_family_override,Ferns
