resolved_accepted_id,taxonID,scientificName,taxonomicStatus,acceptedNameUsageID,family,genus,taxonRank,taxonomic_status_norm,exact_name_norm,key,match_exact_original,match_canonical_key,included_as_accepted_target,accepted_name_resolved,accepted_family_resolved,accepted_genus_resolved,accepted_rank_resolved
wfo-0000174222,wfo-0000174222,Platymiscium floribundum,Accepted,,Fabaceae,Platymiscium,species,accepted,platymiscium floribundum,platymiscium floribundum,TRUE,TRUE,TRUE,Platymiscium floribundum,Fabaceae,Platymiscium,species
wfo-0001061344,wfo-0001061344,Platymiscium floribundum var. floribundum,Accepted,,Fabaceae,Platymiscium,variety,accepted,platymiscium floribundum var. floribundum,platymiscium floribundum var. floribundum,FALSE,FALSE,TRUE,Platymiscium floribundum var. floribundum,Fabaceae,Platymiscium,variety
wfo-0001061344,wfo-0000174228,Platymiscium praecox,Synonym,wfo-0001061344,Fabaceae,Platymiscium,species,synonym,platymiscium praecox,platymiscium praecox,TRUE,TRUE,FALSE,Platymiscium floribundum var. floribundum,Fabaceae,Platymiscium,variety
wfo-0000174233,wfo-0000174233,Platymiscium trinitatis,Accepted,,Fabaceae,Platymiscium,species,accepted,platymiscium trinitatis,platymiscium trinitatis,TRUE,TRUE,TRUE,Platymiscium trinitatis,Fabaceae,Platymiscium,species
wfo-0000169448,wfo-0000169448,Platymiscium yucatanum,Accepted,,Fabaceae,Platymiscium,species,accepted,platymiscium yucatanum,platymiscium yucatanum,TRUE,TRUE,TRUE,Platymiscium yucatanum,Fabaceae,Platymiscium,species
wfo-0000192412,wfo-0000192412,Platyosprion platycarpum,Accepted,,Fabaceae,Platyosprion,species,accepted,platyosprion platycarpum,platyosprion platycarpum,FALSE,FALSE,TRUE,Platyosprion platycarpum,Fabaceae,Platyosprion,species
wfo-0000009205,wfo-0000009205,Platypodanthera melissifolia,Accepted,,Asteraceae,Platypodanthera,species,accepted,platypodanthera melissifolia,platypodanthera melissifolia,TRUE,TRUE,TRUE,Platypodanthera melissifolia,Asteraceae,Platypodanthera,species
wfo-0000044983,wfo-0000044983,Plazia daphnoides,Accepted,,Asteraceae,Plazia,species,accepted,plazia daphnoides,plazia daphnoides,TRUE,TRUE,TRUE,Plazia daphnoides,Asteraceae,Plazia,species
wfo-0000084143,wfo-0000084143,Plectocephalus chilensis,Accepted,,Asteraceae,Plectocephalus,species,accepted,plectocephalus chilensis,plectocephalus chilensis,FALSE,FALSE,TRUE,Plectocephalus chilensis,Asteraceae,Plectocephalus,species
wfo-0000275391,wfo-0000275391,Plectranthus ecklonii,Accepted,,Lamiaceae,Plectranthus,species,accepted,plectranthus ecklonii,plectranthus ecklonii,TRUE,TRUE,TRUE,Plectranthus ecklonii,Lamiaceae,Plectranthus,species
wfo-0000276360,wfo-0000276360,Pleione bulbocodioides,Accepted,,Orchidaceae,Pleione,species,accepted,pleione bulbocodioides,pleione bulbocodioides,TRUE,TRUE,TRUE,Pleione bulbocodioides,Orchidaceae,Pleione,species
wfo-0000276501,wfo-0000276501,Pleione yunnanensis,Accepted,,Orchidaceae,Pleione,species,accepted,pleione yunnanensis,pleione yunnanensis,TRUE,TRUE,TRUE,Pleione yunnanensis,Orchidaceae,Pleione,species
wfo-0000024080,wfo-0000024080,Pleiotaxis rugosa,Accepted,,Asteraceae,Pleiotaxis,species,accepted,pleiotaxis rugosa,pleiotaxis rugosa,TRUE,TRUE,TRUE,Pleiotaxis rugosa,Asteraceae,Pleiotaxis,species
