name_id,original_name,exact_name,key,candidate_match_stage,source_name,source_id,source_status,accepted_id,accepted_name,accepted_family,accepted_genus,accepted_rank,taxonomy_signature
2719,Caesalpinia mimosoides,caesalpinia mimosoides,caesalpinia mimosoides,exact,Caesalpinia mimosoides,wfo-0000196945,synonym,wfo-0001346732,Hultholia mimosoides,Fabaceae,Hultholia,species,Hultholia mimosoides||Fabaceae||Hultholia||species
2719,Caesalpinia mimosoides,caesalpinia mimosoides,caesalpinia mimosoides,exact,Caesalpinia mimosoides,wfo-1200022417,synonym,wfo-0000186810,Moullava spicata,Fabaceae,Moullava,species,Moullava spicata||Fabaceae||Moullava||species
281,Cinnamomum cassia,cinnamomum cassia,cinnamomum cassia,exact,Cinnamomum cassia,wfo-0000604976,synonym,wfo-0000604944,Cinnamomum burmanni,Lauraceae,Cinnamomum,species,Cinnamomum burmanni||Lauraceae||Cinnamomum||species
281,Cinnamomum cassia,cinnamomum cassia,cinnamomum cassia,exact,Cinnamomum cassia,wfo-0000604975,synonym,wfo-0001248993,Neolitsea cassia,Lauraceae,Neolitsea,species,Neolitsea cassia||Lauraceae||Neolitsea||species
720,Cissus sicyoides,cissus sicyoides,cissus sicyoides,exact,Cissus sicyoides,wfo-0000606851,synonym,wfo-0000606224,Cissus discolor,Vitaceae,Cissus,species,Cissus discolor||Vitaceae||Cissus||species
720,Cissus sicyoides,cissus sicyoides,cissus sicyoides,exact,Cissus sicyoides,wfo-0000606850,synonym,wfo-0001240939,Cissus verticillata subsp. verticillata,Vitaceae,Cissus,subspecies,Cissus verticillata subsp. verticillata||Vitaceae||Cissus||subspecies
3267,Cordia obliqua,cordia obliqua,cordia obliqua,exact,Cordia obliqua,wfo-0000620789,synonym,wfo-0000620417,Cordia dichotoma,Cordiaceae,Cordia,species,Cordia dichotoma||Cordiaceae||Cordia||species
3267,Cordia obliqua,cordia obliqua,cordia obliqua,exact,Cordia obliqua,wfo-0000620791,synonym,wfo-0000620712,Cordia magnoliifolia,Cordiaceae,Cordia,species,Cordia magnoliifolia||Cordiaceae||Cordia||species
3267,Cordia obliqua,cordia obliqua,cordia obliqua,exact,Cordia obliqua,wfo-0000620790,synonym,wfo-0001216026,Varronia peruviana,Cordiaceae,Varronia,species,Varronia peruviana||Cordiaceae||Varronia||species
1463,Crataegus oxyacantha,crataegus oxyacantha,crataegus oxyacantha,exact,Crataegus oxyacantha,wfo-0000983920,synonym,wfo-0001009174,Crataegus laevigata,Rosaceae,Crataegus,species,Crataegus laevigata||Rosaceae||Crataegus||species
1463,Crataegus oxyacantha,crataegus oxyacantha,crataegus oxyacantha,exact,Crataegus oxyacantha,wfo-0000990194,synonym,wfo-0001010488,Crataegus marshallii,Rosaceae,Crataegus,species,Crataegus marshallii||Rosaceae||Crataegus||species
1463,Crataegus oxyacantha,crataegus oxyacantha,crataegus oxyacantha,exact,Crataegus oxyacantha,wfo-0000985328,synonym,wfo-0000987339,Crataegus rhipidophylla var. rhipidophylla,Rosaceae,Crataegus,variety,Crataegus rhipidophylla var. rhipidophylla||Rosaceae||Crataegus||variety
