original_name,exact_name,key,legacy_n_accepted_ids,legacy_resolved,hierarchical_resolved,comparison_status,match_rule,resolution_status,accepted_name,accepted_id,accepted_family,accepted_genus,accepted_rank
Canarium album,canarium album,canarium album,2,FALSE,TRUE,recovered_by_hierarchical_rules,exact_accepted,exact_accepted_unique,Canarium album,wfo-0000583426,Burseraceae,Canarium,species
Blumea balsamifera,blumea balsamifera,blumea balsamifera,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Blumea balsamifera,wfo-0000002804,Asteraceae,Blumea,species
Blumea fistulosa,blumea fistulosa,blumea fistulosa,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Blumea fistulosa,wfo-0000069656,Asteraceae,Blumea,species
Blumea glomerata,blumea glomerata,blumea glomerata,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Blumea fistulosa,wfo-0000069656,Asteraceae,Blumea,species
Peltogyne paniculata,peltogyne paniculata,peltogyne paniculata,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Peltogyne paniculata,wfo-0000174172,Fabaceae,Peltogyne,species
Millettia dura,millettia dura,millettia dura,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Millettia dura,wfo-0000199876,Fabaceae,Millettia,species
Aristolochia ridicula,aristolochia ridicula,aristolochia ridicula,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Aristolochia ridicula,wfo-0000548266,Aristolochiaceae,Aristolochia,species
Beilschmiedia zenkeri,beilschmiedia zenkeri,beilschmiedia zenkeri,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Beilschmiedia zenkeri,wfo-0000562165,Lauraceae,Beilschmiedia,species
Pisum sativum,pisum sativum,pisum sativum,1,TRUE,TRUE,resolved_by_both,exact_synonym,exact_synonym_unique,Lathyrus oleraceus,wfo-0000214337,Fabaceae,Lathyrus,species
Bonannia graeca,bonannia graeca,bonannia graeca,1,TRUE,TRUE,resolved_by_both,exact_accepted,exact_accepted_unique,Bonannia graeca,wfo-0000568568,Apiaceae,Bonannia,species
