original_name,exact_name,key,accepted_name,accepted_id,accepted_ids,accepted_family,accepted_genus,accepted_rank,source_status,tax_status,match_rule,resolution_status,n_candidate_rows,n_candidate_accepted_ids,n_candidate_taxonomies,tax_provider,tax_checked_at,name_id
Merrillia caloxylon,merrillia caloxylon,merrillia caloxylon,Murraya caloxylon,wfo-0001039028,wfo-0001039028,Rutaceae,Murraya,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,409
Persicaria spectabilis,persicaria spectabilis,persicaria spectabilis,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,410
Persicaria senegalensis,persicaria senegalensis,persicaria senegalensis,Persicaria senegalensis,wfo-0000488300,wfo-0000488300,Polygonaceae,Persicaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,411
Pseudoprospero firmifolium,pseudoprospero firmifolium,pseudoprospero firmifolium,Pseudoprospero firmifolium,wfo-0000723079,wfo-0000723079,Asparagaceae,Pseudoprospero,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,412
Helichrysum forskahlii,helichrysum forskahlii,helichrysum forskahlii,NA,NA,NA,NA,NA,NA,NA,unresolved,unresolved,no_match,0,0,0,NA,2026-06-24,413
Bauhinia purpurea,bauhinia purpurea,bauhinia purpurea,Bauhinia purpurea,wfo-0000213155,wfo-0000213155,Fabaceae,Bauhinia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,414
Tephrosia calophylla,tephrosia calophylla,tephrosia calophylla,Tephrosia calophylla,wfo-0000205385,wfo-0000205385,Fabaceae,Tephrosia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,415
Uvaria scheffleri,uvaria scheffleri,uvaria scheffleri,Uvaria scheffleri,wfo-0001066238,wfo-0001066238,Annonaceae,Uvaria,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,416
Acacia nilotica,acacia nilotica,acacia nilotica,Vachellia nilotica,wfo-0001284776,wfo-0001284776,Fabaceae,Vachellia,species,synonym,synonym,exact_synonym,exact_synonym_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,417
Vachellia nilotica,vachellia nilotica,vachellia nilotica,Vachellia nilotica,wfo-0001284776,wfo-0001284776,Fabaceae,Vachellia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,418
Myrcia multiflora,myrcia multiflora,myrcia multiflora,Myrcia multiflora,wfo-0000247667,wfo-0000247667,Myrtaceae,Myrcia,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,419
Cyperus capitatus,cyperus capitatus,cyperus capitatus,Cyperus capitatus,wfo-0000369295,wfo-0000369295,Cyperaceae,Cyperus,species,accepted,accepted,exact_accepted,exact_accepted_unique,1,1,1,WFO_offline_hierarchical,2026-06-24,420
Zephyranthes flava,zephyranthes flava,zephyranthes flava,Pyrolirion flavum,wfo-0000727083,wfo-0000727083,Amaryllidaceae,Pyrolirion,species,synonym,synonym,exact_synonym,exact_synonym_unique,2,1,1,WFO_offline_hierarchical,2026-06-24,421
